archive_path,title,mime_type,size_bytes,drive_id,view_url,action
2010-2020/2020/Corn Plot.pdf,Corn Plot.pdf,application/pdf,2662018,1BYwJZwyLUTnlVQfhyvs0_kzLp_XHKfRV,https://drive.google.com/file/d/1BYwJZwyLUTnlVQfhyvs0_kzLp_XHKfRV/view,extracted
2010-2020/2020/2020 Corn.pdf,2020 Corn.pdf,application/pdf,476815,11r3VO_dsDHuaZTpaD9ZH2Bl7vZBcjftL,https://drive.google.com/file/d/11r3VO_dsDHuaZTpaD9ZH2Bl7vZBcjftL/view,linked_too_large
2010-2020/2020/Hamstra Alfalfa 2020.pdf,Hamstra Alfalfa 2020.pdf,application/pdf,36946,192qCYKP7XYGq5ok1yuayMI7Fcq8lY2oc,https://drive.google.com/file/d/192qCYKP7XYGq5ok1yuayMI7Fcq8lY2oc/view,extracted
2010-2020/2020/2020 Wheat.xlsx,2020 Wheat.xlsx,xlsx,16220,1ZKqifzogcn5h_K4jb368knlJlGSQtRZU,https://drive.google.com/file/d/1ZKqifzogcn5h_K4jb368knlJlGSQtRZU/view,extracted
2010-2020/2020/2020 Wheat.pdf,2020 Wheat.pdf,application/pdf,426664,1rX-M_fLcBPftwIaUVSwZdY1DZWSlCvZd,https://drive.google.com/file/d/1rX-M_fLcBPftwIaUVSwZdY1DZWSlCvZd/view,linked_too_large
2021/2021 Hamstra wheat.xlsx,2021 Hamstra wheat.xlsx,xlsx,16561,1_Td3SXHMNL6aWhkPBAA0SlzsmjSfiJ7u,https://drive.google.com/file/d/1_Td3SXHMNL6aWhkPBAA0SlzsmjSfiJ7u/view,extracted
2021/Hamstra Alfalfa 2021.xls,Hamstra Alfalfa 2021.xls,application/vnd.ms-excel,33792,1FYZTW5rzpx6nOXD8yX6bXek2VRqbvP_M,https://drive.google.com/file/d/1FYZTW5rzpx6nOXD8yX6bXek2VRqbvP_M/view,extract_failed
2021/Hamstra Alfalfa 2021.pdf,Hamstra Alfalfa 2021.pdf,application/pdf,39257,1-E_gVyuCSuwVb5J_5187DmvC1IRg4m4d,https://drive.google.com/file/d/1-E_gVyuCSuwVb5J_5187DmvC1IRg4m4d/view,extracted
2021/2021 Hamstra wheat.pdf,2021 Hamstra wheat.pdf,application/pdf,430005,1mu2ZpeJKuAUSTS_aLCfEdW8SlWsIeVIn,https://drive.google.com/file/d/1mu2ZpeJKuAUSTS_aLCfEdW8SlWsIeVIn/view,linked_too_large
2021/2021 Hamstra Corn.pdf,2021 Hamstra Corn.pdf,application/pdf,466324,1Vwje18nMfe6XSEXGIia5NeaG947v-K-v,https://drive.google.com/file/d/1Vwje18nMfe6XSEXGIia5NeaG947v-K-v/view,linked_too_large
